,STARS,RATING,RT_Norm,RTU_Norm,Meta_Norm,Meta_U_Norm,IMDB_Norm
0,4.0,3.9,1.2,2.1,2.3,1.6,2.1
1,4.5,4.5,3.6,4.0,3.0,3.5,3.6
2,5.0,4.8,3.6,4.2,3.6,3.3,3.7
3,5.0,4.8,4.0,4.2,3.4,3.4,3.7
4,4.5,4.5,4.9,4.5,4.7,4.4,4.3
5,4.5,4.3,3.0,3.8,3.0,3.5,3.8
6,4.5,4.2,3.8,4.2,2.9,4.0,3.9
7,4.0,4.0,2.7,2.6,2.8,2.8,3.4
8,5.0,4.5,3.7,4.3,3.3,3.6,3.9
9,3.5,3.4,3.6,2.5,3.4,3.0,3.0
10,5.0,4.5,4.2,4.0,3.4,3.8,3.6
11,5.0,4.5,4.0,4.5,3.2,4.0,3.9
12,4.5,4.3,4.8,4.4,4.4,4.4,4.2
13,4.5,4.3,2.5,2.9,2.2,2.8,3.2
14,4.5,4.1,2.6,3.5,3.0,3.2,3.6
15,4.5,4.3,4.6,4.1,3.8,3.2,3.6
16,4.5,4.4,3.1,3.2,3.0,2.7,3.2
17,4.5,4.1,4.2,3.7,3.8,3.0,3.4
18,5.0,4.8,4.5,4.7,3.6,3.6,4.2
19,4.0,3.7,2.5,2.6,3.0,3.2,3.3
20,5.0,4.6,4.5,4.6,3.6,4.1,4.0
21,4.5,4.4,2.2,3.2,2.8,3.6,3.4
22,4.5,4.2,1.5,3.0,2.1,2.7,3.2
23,5.0,4.6,5.0,4.3,4.4,3.6,3.8
24,4.5,4.2,1.4,3.0,1.6,2.4,2.6
25,4.5,4.1,0.4,2.3,1.3,2.3,3.0
26,4.5,4.4,1.4,3.3,1.8,1.6,3.4
27,4.5,4.1,2.3,2.9,2.4,3.2,3.3
28,3.0,2.7,0.4,1.0,1.4,1.2,2.0
29,4.5,4.2,1.3,3.0,1.9,3.2,3.4
30,4.0,3.9,1.4,2.4,1.7,1.9,3.0
31,5.0,4.6,3.0,4.0,2.8,4.1,3.9
32,4.5,4.1,2.5,2.9,2.4,2.9,3.2
33,4.0,3.9,2.8,2.7,2.8,3.1,3.3
34,4.5,4.2,3.4,3.4,3.2,2.8,3.4
35,3.5,3.3,3.9,2.8,3.1,3.2,3.0
36,4.5,4.2,1.6,3.4,1.9,2.6,3.6
37,4.0,3.7,4.6,3.9,4.4,4.0,4.0
38,3.5,3.4,1.3,2.0,2.0,2.2,2.8
39,4.5,4.3,4.9,4.0,3.8,4.1,3.6
40,4.5,4.1,0.8,2.7,1.4,2.6,2.8
41,4.0,3.8,1.4,2.8,1.7,3.1,3.2
42,4.0,3.8,1.5,2.8,2.0,3.7,3.5
43,4.5,4.1,4.6,4.3,3.9,4.0,3.8
44,4.5,4.5,1.8,3.6,2.4,3.0,3.5
45,5.0,4.6,4.0,4.4,3.0,3.6,3.8
46,4.5,4.2,2.7,3.4,2.6,3.7,3.6
47,4.5,4.1,3.0,2.8,2.6,3.4,3.2
48,4.0,3.5,4.3,3.2,4.0,3.4,3.2
49,3.5,3.5,0.2,1.8,0.6,1.2,2.2
50,4.0,3.6,0.5,1.8,1.5,2.8,2.3
51,3.0,2.8,1.6,1.2,2.4,1.8,2.5
52,4.5,4.1,3.4,4.0,2.8,4.0,3.8
53,4.0,3.7,4.6,4.0,3.8,4.2,3.8
54,4.0,3.7,0.4,1.8,1.6,1.8,2.4
55,4.5,4.5,1.6,3.6,1.6,2.4,3.6
56,3.0,2.7,3.0,2.0,3.0,2.9,3.0
57,4.5,4.4,2.6,4.0,2.6,3.6,3.7
58,3.5,3.1,1.0,1.6,2.0,2.0,2.8
59,4.5,4.2,3.6,3.4,2.8,3.2,3.3
60,4.5,4.3,4.4,4.3,3.6,3.6,3.8
61,3.0,2.9,4.8,3.2,4.2,3.8,3.4
62,4.5,4.1,3.0,3.0,3.0,3.6,3.3
63,3.0,2.9,0.8,1.4,1.5,3.5,2.2
64,4.0,3.9,3.1,3.2,2.6,3.0,3.3
65,4.5,4.2,2.0,3.4,2.2,4.0,3.3
66,4.0,3.7,1.7,2.3,2.4,2.7,3.2
67,5.0,4.5,0.9,4.2,1.1,2.4,2.7
68,4.0,3.8,2.8,2.8,2.8,3.1,3.4
69,3.0,3.0,0.7,1.2,1.6,2.4,2.6
70,4.0,3.8,3.6,3.4,3.1,3.8,3.5
71,4.0,3.7,3.2,2.6,2.7,3.5,3.1
72,3.0,2.8,1.7,1.2,2.6,2.7,2.7
73,4.0,3.8,1.0,2.6,1.7,4.2,3.3
74,4.0,4.0,4.4,3.9,3.4,4.0,3.7
75,3.0,3.0,1.1,1.2,2.1,2.2,2.4
76,4.5,4.1,4.4,4.2,3.6,3.9,3.8
77,3.5,3.2,0.6,1.8,1.5,2.0,2.8
78,3.5,3.2,0.6,1.5,1.4,1.6,2.8
79,3.5,3.4,0.8,2.5,1.2,2.6,2.8
80,3.0,2.9,3.6,2.6,4.0,3.7,3.4
81,3.5,3.0,0.7,1.4,1.4,1.7,2.6
82,3.5,3.4,0.8,1.7,2.0,2.2,2.9
83,3.5,3.3,0.6,1.7,1.6,2.5,2.8
84,4.0,3.9,0.4,2.4,1.4,1.6,3.0
85,4.5,4.0,5.0,4.1,4.0,4.4,3.7
86,4.5,4.0,4.4,4.4,4.0,4.2,3.9
87,3.5,3.2,0.6,1.4,1.6,1.9,2.7
88,4.0,3.6,0.6,2.0,1.2,1.2,3.2
89,4.5,4.3,1.0,4.0,1.5,3.0,3.7
90,4.5,4.0,4.2,3.8,3.6,3.8,3.6
91,4.5,4.4,4.8,4.6,4.2,4.4,4.0
92,4.5,4.2,4.7,3.8,3.6,3.8,3.6
93,3.5,3.4,4.5,3.4,4.0,3.5,3.6
94,4.0,3.7,2.3,2.6,2.5,3.4,3.2
95,4.5,4.3,4.0,4.4,3.7,4.2,4.1
96,3.5,3.2,2.2,2.0,2.5,2.8,3.2
97,4.0,4.0,3.8,3.8,2.9,3.6,3.6
98,3.5,3.4,2.4,2.4,2.4,3.2,3.2
99,4.5,4.5,2.6,4.2,2.5,3.6,3.6
100,3.0,2.9,4.2,2.6,3.8,3.4,3.2
101,4.5,4.0,3.2,3.1,2.5,3.4,3.6
102,4.0,3.7,1.3,2.2,2.0,2.6,3.2
103,3.5,3.2,4.9,2.8,4.7,3.3,3.4
104,4.0,3.6,4.7,3.5,3.8,3.4,3.4
105,4.5,4.3,4.8,4.3,3.8,4.2,3.8
106,4.0,3.5,2.1,2.6,2.6,3.8,3.4
107,4.5,4.1,4.8,4.6,3.8,4.4,4.1
108,4.0,3.5,4.1,3.0,3.1,3.3,3.2
109,3.0,2.9,0.6,1.0,1.8,2.7,2.3
110,3.5,3.5,4.8,4.1,4.2,3.8,3.6
111,3.5,3.4,4.4,3.4,3.9,3.6,3.4
112,4.0,3.9,4.0,4.0,3.8,4.0,3.6
113,4.0,3.9,4.0,3.8,3.2,4.0,3.6
114,4.5,4.1,4.6,4.4,4.2,3.8,4.0
115,3.5,3.5,4.8,3.9,4.4,4.4,3.7
116,3.5,3.3,4.1,3.2,3.2,4.3,3.4
117,4.5,4.4,3.0,3.0,3.0,3.4,3.0
118,3.5,3.3,2.7,1.6,2.6,3.2,2.8
119,4.5,4.3,4.8,4.5,4.2,3.9,4.2
120,4.0,3.9,2.0,2.4,2.6,3.5,3.2
121,4.0,3.6,2.6,2.4,2.8,3.4,3.0
122,4.0,3.6,5.0,3.9,4.6,3.4,3.6
123,3.5,3.4,5.0,4.0,4.6,4.0,3.6
124,4.5,4.3,5.0,4.6,4.3,4.1,4.1
125,3.5,3.4,4.2,3.6,3.8,3.5,3.6
126,4.0,3.5,5.0,4.0,4.6,3.6,3.8
127,4.0,3.9,3.4,3.4,2.9,2.3,3.6
128,3.5,3.5,5.0,4.0,4.5,3.6,3.9
129,4.0,3.6,3.6,2.4,3.4,3.4,3.0
130,4.0,3.7,1.3,1.6,2.0,4.0,3.2
131,4.5,4.1,4.8,4.3,4.1,3.7,3.8
132,4.0,3.9,4.2,4.4,3.4,4.2,3.6
133,3.0,3.0,0.9,1.2,1.8,2.6,2.7
134,4.0,3.9,2.6,2.6,2.8,3.4,3.3
135,4.5,4.1,4.4,4.4,3.6,3.2,3.9
136,3.5,3.1,2.6,2.2,2.6,3.4,3.2
137,4.0,3.6,4.8,4.3,4.4,4.8,4.1
138,4.5,4.1,4.6,3.6,3.8,3.9,3.8
139,4.5,4.2,5.0,4.4,4.2,3.0,3.8
140,3.5,3.5,4.4,3.2,3.4,3.2,3.4
141,4.0,3.6,4.8,4.0,4.4,3.2,3.5
142,4.5,4.2,4.6,4.2,3.4,3.5,3.9
143,4.0,3.9,4.8,4.3,4.3,3.6,3.7
144,3.5,3.1,3.0,2.3,3.4,2.9,3.2
